title,authors,categories,thumbnail,average_rating
The Jew of Malta,Christopher Marlowe;Havelock Ellis,Drama,http://books.google.com/books/content?id=qjp-Ji2IopcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.61
Fluke,Christopher Moore,Fiction,http://books.google.com/books/content?id=pIHvlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.75
A Dirty Job,Christopher Moore,Fiction,http://books.google.com/books/content?id=W8EPgwEP_hoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.07
Practical Demonkeeping,Christopher Moore,Fiction,http://books.google.com/books/content?id=saaBiYmBmgsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.82
Island of the Sequined Love Nun,Christopher Moore,Fiction,http://books.google.com/books/content?id=YLqclgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.79
The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,http://books.google.com/books/content?id=kUDSt-EI814C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86
Lamb,Christopher Moore,Fiction,http://books.google.com/books/content?id=cM4dlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.26
'Photos of the Gods',Christopher Pinney,Art,http://books.google.com/books/content?id=8hhXq7hpzSwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.96
Photography's Other Histories,Christopher Pinney;Nicolas Peterson;Nicholas Thomas,Photography,http://books.google.com/books/content?id=ZYPdHJaE6yMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.73
The Prestige,Christopher Priest,Fiction,http://books.google.com/books/content?id=yQX2sAWAPOEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.88
The Seventy Wonders of the Ancient World,Christopher Scarre,Architecture,http://books.google.com/books/content?id=BHaQQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02
Chuck Klosterman IV,Chuck Klosterman,Biography & Autobiography,http://books.google.com/books/content?id=z8Zb3BwcviMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.85
Fargo Rock City,Chuck Klosterman,Music,http://books.google.com/books/content?id=AhhOOYzmcPsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8
Survivor,Chuck Palahniuk,American fiction,http://books.google.com/books/content?id=OOT8TdiYYPIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.92
Choke,Chuck Palahniuk,Alzheimer's disease,http://books.google.com/books/content?id=xkbpbiEC_oAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.69
Non-Fiction,Chuck Palahniuk,Curiosities and wonders,http://books.google.com/books/content?id=TMw7HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.57
Fight Club: A Novel,Chuck Palahniuk,Fiction,http://books.google.com/books/content?id=SzfvHXu_5t8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.2
Diary,Chuck Palahniuk,Fiction,http://books.google.com/books/content?id=JohRKwRQ4SEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.61
Haunted,Chuck Palahniuk,Fiction,http://books.google.com/books/content?id=Bzk7X0hXRXcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.59
Fugitives and Refugees,Chuck Palahniuk,Travel,http://books.google.com/books/content?id=vvyLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.51
Cicero: On Duties,Cicero;Marcus Tullius Cicero;Quintus Tullius Cicero,History,http://books.google.com/books/content?id=PuONLmVUW4QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.95
The Poetry of Sylvia Plath,Claire Brennan,Literary Criticism,http://books.google.com/books/content?id=TSrx1mELRBUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23
The Last Life,Claire Messud,Fiction,http://books.google.com/books/content?id=NBiLmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.56
The Hunters,Claire Messud,American fiction,http://books.google.com/books/content?id=ExP1uO0GSDsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.4
"X/1999, Vol. 1",CLAMP,Comics & Graphic Novels,http://books.google.com/books/content?id=LVUFcAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.95
"X/1999, Volume 2",CLAMP,Comics & Graphic Novels,http://books.google.com/books/content?id=AcdMSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02
RG Veda,Clamp,Comics & Graphic Novels,http://books.google.com/books/content?id=5NbOt8YUT5kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.72
Tsubasa,CLAMP (Mangaka group),Juvenile Fiction,http://books.google.com/books/content?id=kuh6tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.29
Catching Alice,Clare Naylor,Fiction,http://books.google.com/books/content?id=vDkKAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.35
A Pinch of Poison,Claudia Bishop,Fiction,http://books.google.com/books/content?id=7AgCAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.58
Remind Me Again Why I Need A Man,Claudia Carroll,Fiction,http://books.google.com/books/content?id=EvzyzYHTliIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.31
"The Autobiography of Martin Luther King, Jr.",Clayborne Carson,Biography & Autobiography,http://books.google.com/books/content?id=k8VNeihMoZQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.34
The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,http://books.google.com/books/content?id=qZxlDIzXyqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.99
Art and Culture,Clement Greenberg,Art,http://books.google.com/books/content?id=lFMkAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.92
The Boys of Everest,Clint Willis,Sports & Recreation,http://books.google.com/books/content?id=8IBRPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86
The thief of always,Clive Barker,Fiction,http://books.google.com/books/content?id=jKsrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.19
Imajica II,Clive Barker,Fiction,http://books.google.com/books/content?id=DZVKScH9E5oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.42
The Inhuman Condition,Clive Barker,Fiction,http://books.google.com/books/content?id=RaMMCIm7BQ0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.97
The Dark Descent,Clive Barker;Ray Bradbury,Fiction,http://books.google.com/books/content?id=pNgZxdPETK0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.26
The Navigator,Clive Cussler,Fiction,http://books.google.com/books/content?id=JkXaerObYWAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93
Raise the Titanic!,Clive Cussler,Fiction,http://books.google.com/books/content?id=WDNyYFPIW3kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.97
The Mediterranean Caper,Clive Cussler,Fiction,http://books.google.com/books/content?id=HESwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.77
Trojan Odyssey,Clive Cussler,Fiction,http://books.google.com/books/content?id=bQEku8FUjLwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.93
Lost City,Clive Cussler,Fiction,http://books.google.com/books/content?id=Pay5bDWJCnAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89
Skeleton Coast,Clive Cussler,Fiction,http://books.google.com/books/content?id=7anjkWPnvQUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.12
Cyclops,Clive Cussler,Fiction,http://books.google.com/books/content?id=r-sliMbOibQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.87
Shock Wave,Clive Cussler,Adventure stories,http://books.google.com/books/content?id=vsh3PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.01
Pacific Vortex!,Clive Cussler,Fiction,http://books.google.com/books/content?id=YzdMPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.78
Sahara,Clive Cussler,Fiction,http://books.google.com/books/content?id=_vYfC_A113AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.96
Deep Six,Clive Cussler,Fiction,http://books.google.com/books/content?id=h96BlUS_vnUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.89
Dragon,Clive Cussler,Fiction,http://books.google.com/books/content?id=xT2Um8qAJGAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.92
Golden Buddha,Clive Cussler;Craig Dirgo,"Cabrillo, Juan (Fictitious character)",http://books.google.com/books/content?id=NXNoVOa9IBoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89
The Sea Hunters II,Clive Cussler;Craig Dirgo,History,http://books.google.com/books/content?id=shU0A7v8fnIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.84
Clive Cussler and Dirk Pitt Revealed,Clive Cussler;Craig Dirgo,Fiction,http://books.google.com/books/content?id=dxBMJjQA_WsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.88
The Sea Hunters,Clive Cussler;Craig Dirgo,Fiction,http://books.google.com/books/content?id=K1Byb0FCifMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.82
Black Wind,Clive Cussler;Dirk Cussler,Fiction,http://books.google.com/books/content?id=It7y2mUzFbUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85
Dark Watch,Clive Cussler;Jack B. Du Brul,Fiction,http://books.google.com/books/content?id=EKDrHaXa9ocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09
Serpent,Clive Cussler;Paul Kemprecos,Archaeological expeditions,http://books.google.com/books/content?id=cldoPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9
The Four Loves,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15
The Problem of Pain,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09
The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,http://books.google.com/books/content?id=fDD3CfYb70cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09
Letters to Children,Clive Staples Lewis,Religion,http://books.google.com/books/content?id=jfRfxAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18
Secrets of San Francisco,Cody Goodfellow,Games,http://books.google.com/books/content?id=RUT9PAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4
Tolkien and C.S. Lewis,Colin Duriez,Biography & Autobiography,http://books.google.com/books/content?id=GQMwj9mcE-AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4
The Making of a Philosopher,Colin McGinn,Philosophy,http://books.google.com/books/content?id=oJ5dL5OmXHMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.65
The Roman Empire,Colin Michael Wells,History,http://books.google.com/books/content?id=1urqHVQ0qQAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.58
Sailing from Byzantium,Colin Wells,History,http://books.google.com/books/content?id=jTmBvyaDdM0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87
Mysteries,Colin Wilson,"Body, Mind & Spirit",http://books.google.com/books/content?id=LiHQIYR2MwAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.08
Caesar,Colleen McCullough,Fiction,http://books.google.com/books/content?id=aoH_-e_syp0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.36
The Thorn Birds,Colleen McCullough,Fiction,http://books.google.com/books/content?id=mtBZngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23
The Grass Crown,Colleen McCullough,Fiction,http://books.google.com/books/content?id=Kt3gN2eJzbQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.29
Caesar's Women,Colleen McCullough,Fiction,http://books.google.com/books/content?id=yFK8FChsNbsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.24
Tim,Colleen McCullough,Fiction,http://books.google.com/books/content?id=kBFiyP7jOp4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.81
Three Complete Novels,Colleen McCullough,Fiction,http://books.google.com/books/content?id=QDzwWuzbjhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.67
Morgan's Run,Colleen McCullough,Fiction,http://books.google.com/books/content?id=XtgXaI7yBrMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94
The October Horse,Colleen McCullough,Fiction,http://books.google.com/books/content?id=XWWDrNeqFgUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.28
The first man in Rome,Colleen McCullough,Fiction,http://books.google.com/books/content?id=kMRmPpDKdUgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1
The Blackwater Lightship,Colm Toibin,Fiction,http://books.google.com/books/content?id=V9rUaWjCelwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.86
The Master,Colm Toibin,Fiction,http://books.google.com/books/content?id=1G9xAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.83
This Side of Brightness,Colum McCann,Fiction,http://books.google.com/books/content?id=50EMEL4s31MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85
Teleportation: From Star Trek to Tesla,Commander X;Tim Swartz,"Body, Mind & Spirit",http://books.google.com/books/content?id=rzMAAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2.83
Lun Yü,Confucius,Philosophy,http://books.google.com/books/content?id=1e7XlNv5oX0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.84
Confucius Analects,Confucius;Edward Gilman Slingerland,Philosophy,http://books.google.com/books/content?id=bwl6mwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.84
The Analects of Confucius,Confucius;Roger T. Ames;Henry Rosemont,Fiction,http://books.google.com/books/content?id=2chvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.84
Cuba,Conner Gorry;David Stanley,Travel,http://books.google.com/books/content?id=AQkS5MU0q-4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.91
Fire Watch,Connie Willis,Fiction,http://books.google.com/books/content?id=3Afc9suMnrcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87
Passage,Connie Willis,Fiction,http://books.google.com/books/content?id=gbRDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.69
Inside Job,Connie Willis,Fiction,http://books.google.com/books/content?id=3ZwmAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.66
Not of Woman Born,Constance Ash;Robert A. Silverberg,Fiction,http://books.google.com/books/content?id=nOEIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8
"Something Borrowed, Something Blue",Constance O'Banyon;Evelyn Rogers;Bobbi Smith,Fiction,http://books.google.com/books/content?id=KsM-8iHo1bEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4
The Rediscovery of Man,Cordwainer Smith,"Science fiction, American",http://books.google.com/books/content?id=FGV1GwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14
The White Masai,Corinne Hofmann,Biography & Autobiography,http://books.google.com/books/content?id=uatyAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.43
The Road,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=eMq_lTq6fUgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.96
The Sunset Limited,Cormac McCarthy,Drama,http://books.google.com/books/content?id=JNFlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.96
The Orchard Keeper,Cormac McCarthy,Community life,http://books.google.com/books/content?id=UYsaQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.55
The Border Trilogy,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=QeGjwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.43
The Border Trilogy,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=w-vLwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.43
No Country for Old Men,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=Q8zM_BuvaroC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.13
"Blood Meridian, Or, The Evening Redness in the West",Cormac McCarthy,Fiction,http://books.google.com/books/content?id=r0YRXUstZ18C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18
All the Pretty Horses,Cormac McCarthy,Americans,http://books.google.com/books/content?id=8LtotgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98
Child of God,Cormac McCarthy,Fiction,http://books.google.com/books/content?id=HYGXPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.86
Democracy Matters,Cornel West,History,http://books.google.com/books/content?id=b-ZvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94
Ghosthunters and the Muddy Monster of Doom!,Cornelia Caroline Funke,Ghost stories,http://books.google.com/books/content?id=9NUJzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.92
When I Feel Angry,Cornelia Maude Spelman,Juvenile Fiction,http://books.google.com/books/content?id=tE31J75ZfmcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.99
Germania,Cornelius Tacitus,History,http://books.google.com/books/content?id=-TCOs_SFAy0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98
Rendezvous in Black,Cornell Woolrich,Fiction,http://books.google.com/books/content?id=lU2vAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.96
Night Has a Thousand Eyes,Cornell Woolrich,Fiction,http://books.google.com/books/content?id=3Gk6swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.77
Down and Out in the Magic Kingdom,Cory Doctorow,Fiction,http://books.google.com/books/content?id=3giJ0KPyyxUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.56
Eastern Standard Tribe,Cory Doctorow,Fiction,http://books.google.com/books/content?id=00Bw99ZcauoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.49
"Someone Comes to Town, Someone Leaves Town",Cory Doctorow,Fiction,http://books.google.com/books/content?id=tTamUiYMmlsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.51
Philip Vera Cruz,Craig Scharlin;Lilia V Villanueva,Biography & Autobiography,http://books.google.com/books/content?id=52PrdUKTUxgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87
"Good-bye, Chunky Rice",Craig Thompson,Comics & Graphic Novels,http://books.google.com/books/content?id=zD2FDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8
Angels and Demons,Craig Thompson,Comics & Graphic Novels,http://books.google.com/books/content?id=WZsWAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.52
It's Easy Being Green,Crissy Trask,House & Home,http://books.google.com/books/content?id=82_EngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.53
Killing Time,Cynthia Harrod-Eagles,Fiction,http://books.google.com/books/content?id=1G1LIqJGdN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.97
The Maiden,Cynthia Harrod-Eagles,Fiction,http://books.google.com/books/content?id=o37aGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27
The Tangled Thread,Cynthia Harrod-Eagles,Fiction,http://books.google.com/books/content?id=tyqLOQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.31
The Dream Kingdom,Cynthia Harrod-Eagles,Fiction,http://books.google.com/books/content?id=oRBdGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.33
The White Road,Cynthia Harrod-Eagles,Fiction,http://books.google.com/books/content?id=stJpGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.26
A twist of Lennon,Cynthia Lennon,Biography & Autobiography,http://books.google.com/books/content?id=BIgcKi2YK44C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.84
The Storm,Cynthia Rylant,Juvenile Fiction,http://books.google.com/books/content?id=u_ZPY9VBJA8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.18
Old Town in the Green Groves,Cynthia Rylant;Jim LaMarche,Juvenile Fiction,http://books.google.com/books/content?id=YUQMAXdqvhgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04
The Octopus,Cynthia Rylant;Preston McDaniels,Juvenile Fiction,http://books.google.com/books/content?id=8B8-CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.16
The Eagle,Cynthia Rylant;Preston McDaniels,Juvenile Fiction,http://books.google.com/books/content?id=cxC9XoIu7sQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.08
His Share of Glory,Cyril M. Kornbluth;Timothy Szczesuil;New England Science Fiction Association,Fiction,http://books.google.com/books/content?id=c1EDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14
Vernon God Little,D. B. C. Pierre,Black humor (Literature),http://books.google.com/books/content?id=ys2sQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.59
Women in Love,D. H. Lawrence,Fiction,http://books.google.com/books/content?id=e9swDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.66
The White Hotel,D. M. Thomas,Austria,http://books.google.com/books/content?id=_npfQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.83
The Sillymarillion,D. R. Lloyd,Fiction,http://books.google.com/books/content?id=shwBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.65
The Shaping of America: A Geographical Perspective on 500 Years of History,D. W. Meinig,History,http://books.google.com/books/content?id=Rk-LFPFl_3YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.15
Zen Buddhism & Psychoanalysis,Daisetz Teitaro Suzuki;Erich Fromm;Richard De Martino,Psychoanalysis and religion,http://books.google.com/books/content?id=wMEAJwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94
Sunny the Yellow Fairy,Daisy Meadows,Juvenile Fiction,http://books.google.com/books/content?id=YEgIngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.83
Inky the Indigo Fairy,Daisy Meadows,Juvenile Fiction,http://books.google.com/books/content?id=S87FdJuQJaAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.79
Heather the Violet Fairy,Daisy Meadows,Juvenile Fiction,http://books.google.com/books/content?id=q5YDUzCjIigC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85
Sky the Blue Fairy,Daisy Meadows;Georgie Ripper,Juvenile Fiction,http://books.google.com/books/content?id=Oyv2HAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.83
How to Stop Worrying and Start Living,Dale Carnegie,Psychology,http://books.google.com/books/content?id=zHBEKfn52l4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.11
The Leader In You,Dale Carnegie,Self-Help,http://books.google.com/books/content?id=kvE_lAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.09
How to Develop Self-confidence and Influence People by Public Speaking,Dale Carnegie,Confianza en sí mismo,http://books.google.com/books/content?id=8LF7K1ZUQC0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14
How to Win Friends and Influence People,Dale Carnegie,Conduct of life,http://books.google.com/books/content?id=aO7CQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.18
Martin and John,Dale Peck,Fiction,http://books.google.com/books/content?id=5bh4680Gf6gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.73
The Law of Enclosures,Dale Peck,Fiction,http://books.google.com/books/content?id=eYkgIE2OIigC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.65
The Drift House,Dale Peck,Juvenile Fiction,http://books.google.com/books/content?id=kbwPYAYoJlcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.64
Switzerland,Damien Simonis;Sarah Johnstone;Nicola Williams,Travel,http://books.google.com/books/content?id=-CIiItGuisoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.82
The Centurions,Damion Hunter,Fiction,http://books.google.com/books/content?id=JGGq9tzQ7XgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14
Performance Assessments for Adult Education,Dan Birlew,Games & Activities,http://books.google.com/books/content?id=UTugeaivILoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.27
Dragon Quest VIII,Dan Birlew,Games,http://books.google.com/books/content?id=6kstAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.14
Robert Langdon Novels,Dan Brown,Art museum curators,http://books.google.com/books/content?id=hPbKKnD7qosC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.82
The Da Vinci Code,Dan Brown,Fiction,http://books.google.com/books/content?id=ohZ1wcYifLsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.82
The Da Vinci Code,Dan Brown,Fiction,http://books.google.com/books/content?id=bWdEKNsaMQEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.82
Deception Point,Dan Brown,Fiction,http://books.google.com/books/content?id=BjFZ0UQOUCgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.7
Lila's Child,Dan Glover,Computers,http://books.google.com/books/content?id=JcBh4L-fj5EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.6
Harrington on Hold 'em,Dan Harrington;Bill Robertie,Games & Activities,http://books.google.com/books/content?id=u8y_9XdJaEMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.15
Secret of the Peaceful Warrior,Dan Millman,Juvenile Fiction,http://books.google.com/books/content?id=QulFqHcTmBsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.18
The Life You Were Born to Live,Dan Millman,Self-Help,http://books.google.com/books/content?id=X_VgkQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1
Way of the Peaceful Warrior,Dan Millman,"Body, Mind & Spirit",http://books.google.com/books/content?id=NEU-1RfOMEwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4.14
Savage Love,Dan Savage,Self-Help,http://books.google.com/books/content?id=iWmsV0n0mNYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.84
Worlds Enough & Time,Dan Simmons,Fiction,http://books.google.com/books/content?id=EKoIG4auiB4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.75
Hardcase,Dan Simmons,Fiction,http://books.google.com/books/content?id=YlLPo1ghL7IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.69
The Terror,Dan Simmons,Fiction,http://books.google.com/books/content?id=2FLxMwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.05
Olympos,Dan Simmons,Fiction,http://books.google.com/books/content?id=rbEOlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94
Carrion Comfort,Dan Simmons,Fiction,http://books.google.com/books/content?id=37wWp0ENPXgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9
Summer of Night,Dan Simmons,Fiction,http://books.google.com/books/content?id=AVfhSa1w474C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02
The Hollow Man,Dan Simmons,Fiction,http://books.google.com/books/content?id=N_7bAoVER6AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.44
The Rise of Endymion,Dan Simmons,Fiction,http://books.google.com/books/content?id=b-iUS4OlDLsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17
